WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;601;602;603;604;605;606;607;608;609;610
6;11;6;Mahler;Daniela;4;6;10127;3423;242;167;202;320;947;320;6.704;667;298;260
6;11;7;Gebhardt;Michael;3;7;9924;2754;181;124;148;202;329;202;157;706;7.170;705
6;11;8;Sacher;Alfred;8;8;9607;2862;1689;6745;70;101;54;124;462;214;65;83
6;11;9;Lippold-Eggen;Freia;9;9;8982;1620;103;64;7362;581;49;132;119;440;58;74
6;11;10;Schreck;Kurt;6;10;8633;1882;230;188;69;79;60;6.751;689;232;206;129
6;13;1;Matuschik;Matthias;1;1;2795;2156;59;83;272;294;369;240;75;324;440;639
6;13;2;Riegler;Julia;2;2;904;286;6;9;13;13;618;35;8;13;46;143
6;13;3;Höfner;Julian;3;3;869;270;6;7;19;27;42;20;8;21;599;120
6;13;4;Lemmer;Thomas;4;4;267;61;1;0;2;4;34;206;2;0;8;10
6;13;5;Lampe;Daniela;7;5;176;176;4;10;6;9;13;14;12;17;25;66
6;13;6;Günther;Elke;5;6;101;101;15;36;2;5;0;3;17;1;8;14
6;13;7;Schilling;Beate;11;7;86;86;0;1;58;4;5;4;1;4;4;5
6;13;8;Richter;Felix;10;8;67;67;4;2;2;3;5;7;0;5;11;28
6;13;9;Kern;Christl;14;9;67;67;0;1;2;8;32;5;1;3;7;8
6;13;10;Seng;Matthias;13;10;65;65;0;1;2;5;28;5;0;6;7;11
6;13;11;Pinke;Ortwin;6;11;57;57;0;1;1;40;0;4;2;0;3;6
6;13;12;Schilling;Malte;8;12;52;52;1;4;22;3;0;6;2;1;7;6
6;13;13;Krämer;Gabriele;9;13;39;39;4;1;2;0;3;1;1;2;17;8
6;13;14;Marschhäuser;Lillo;12;14;22;22;0;0;1;0;4;1;1;2;9;4
6;15;1;Kübert;Andrea;2;1;2538;1524;172;110;140;164;157;201;73;181;326;1.014
6;15;2;Ritter;Markus;1;2;1704;992;712;128;69;129;88;90;77;126;78;207
6;15;3;Portscher;Andreas;4;3;1246;392;71;854;29;33;17;19;109;26;21;67
6;15;4;Schnatz;Pascal;3;4;1059;146;24;28;5;13;6;18;913;17;16;19
6;15;5;Zeller;Lisa;7;5;743;743;64;62;43;50;43;36;58;46;88;253
6;15;6;Buhn;Erik;9;6;560;560;154;212;14;27;9;20;62;18;18;26
6;15;7;Klenk;Tobias;8;7;363;363;24;9;25;17;21;24;16;25;30;172
6;15;8;Ament;Alena;10;8;267;267;28;27;8;9;4;15;97;6;8;65
6;15;9;Blaschko;Robert-Rolland;12;9;164;164;4;8;7;7;12;14;5;21;19;67
6;15;10;Pföhler;Kornelius;6;10;161;161;9;12;7;5;8;10;78;3;13;16
6;15;11;Alm;Bernd;5;11;153;153;2;6;9;23;9;5;6;71;6;16
6;15;12;Kuger;Antonia;11;12;141;141;16;17;7;7;5;5;43;10;8;23
6;17;1;Sänger;Svenja;1;1;2946;1962;194;157;232;189;150;984;183;238;316;303
6;17;2;Bremer;Sabrina;3;2;2730;1538;102;100;109;155;330;157;115;201;1.192;269
6;17;3;Deckert;Katharina;2;3;2202;1494;74;65;107;138;117;298;102;194;399;708
6;17;4;Kraft;Jaqueline;4;4;1798;983;66;81;85;49;26;373;62;815;153;88
6;18;1;Dietzler;Sabine;1;1;850;572;278;111;47;59;38;73;73;49;60;62
6;18;2;Specht;Michael;5;2;440;161;57;279;9;13;12;15;19;9;16;11
6;18;3;Wolfram;Christine;6;3;409;218;24;17;20;21;17;30;22;21;46;191
6;18;4;Großhans;Heinz;2;4;353;73;25;6;4;11;0;280;11;3;11;2
6;18;5;Ortloff;Christian;3;5;332;78;3;3;16;37;6;3;1;254;2;7
6;18;6;Schmitt;Tanja;14;6;321;321;15;21;21;34;22;18;26;23;96;45
6;18;7;Schmitt;Bertram;4;7;306;60;3;2;1;2;15;4;3;10;246;20
6;18;8;Germann;Gabriel;8;8;150;150;3;8;5;5;5;81;7;5;16;15
6;18;9;Ortloff;Ingeborg;13;9;141;141;1;1;24;21;5;1;3;74;4;7
6;18;10;Leshel;Regina;12;10;113;113;8;3;2;3;4;59;5;6;11;12
6;18;11;Dietzler;Andreas;7;11;111;111;78;7;4;4;2;0;5;4;4;3
6;18;12;Kraus;Tobias;9;12;67;67;2;3;3;3;3;2;1;46;2;2
6;18;13;Krebs;Andrea;10;13;64;64;4;4;3;4;4;29;4;3;5;4
6;18;14;Krebs;Torsten;11;14;38;38;1;0;2;2;2;25;1;0;3;2
