id;jahr;vorname;name;partei
1821307;2018;Vanessa;Gebsattel-Ederer;1313
1821308;2018;Margit;Zens;1313
1821309;2018;Ina;Hofmann;1313
1821310;2018;Monika;Drathschmid;1313
1821311;2018;Manfred Martin;Drescher;1313
1821312;2018;Anna Christina;Zens;1313
1821313;2018;Konrad;Zens;1313
1821314;2018;Ferdinand;Pohler;1313
1821701;2018;Gertraud;Götz-Volkmann;1317
1821702;2018;Bernd Joseph;Seidemann;1317
1821703;2018;Kaspar;Obermüller;1317
1821704;2018;Carina;Huber;1317
1821705;2018;Martina;Schlesinger;1317
1821706;2018;Ingrid;Röhrner;1317
1821801;2018;Johann;Kiermaier;1318
1810101;2018;Ilse;Aigner;1301
1810102;2018;Dr. Marcel;Huber;1301
1810103;2018;Josef;Schmid;1301
1810104;2018;Dr. Florian;Herrmann;1301
1810105;2018;Michaela;Kaniber;1301
1810106;2018;Harald;Kühn;1301
1810107;2018;Dr. Ludwig;Spaenle;1301
1810108;2018;Tanja;Schorer-Dremel;1301
1810109;2018;Martin;Bachhuber;1301
1810110;2018;Alex;Dorow;1301
1810111;2018;Kerstin;Schreyer;1301
1810112;2018;Otto;Lederer;1301
1810113;2018;Markus;Blume;1301
1810114;2018;Ulrike;Scharf;1301
1810115;2018;Klaus;Steiner;1301
1810116;2018;Klaus;Stöttner;1301
1810117;2018;Benjamin;Miskowitsch;1301
1810118;2018;Alfred;Grob;1301
1810119;2018;Ernst;Weidenbusch;1301
1810120;2018;Thomas;Huber;1301
1810121;2018;Dr. Martin;Huber;1301
1810122;2018;Bernhard;Seidenath;1301
1810123;2018;Georg;Eisenreich;1301
1810124;2018;Dr. Ute;Eiling-Hütig;1301
1810125;2018;Karl;Straub;1301
1810126;2018;Matthias;Enghuber;1301
1810127;2018;Andreas;Lorenz;1301
1810128;2018;Mechthilde;Wittmann;1301
1810129;2018;Dr. Hans;Theiss;1301
1810130;2018;Robert;Brannekämper;1301
1810131;2018;Tina;Pickert;1301
1810132;2018;Dr. Thomas;Goppel;1301
1810133;2018;Markus;Fröschl;1301
1810134;2018;Dr. Marion;Kiechle;1301
1810135;2018;Daniel;Artmann;1301
1810136;2018;Thomas;Schreder;1301
1810137;2018;Georg;Scheitz;1301
1810138;2018;Georg;Kittenrainer;1301
1810139;2018;August;Haas;1301
1810140;2018;Christian;Moser;1301
1810141;2018;Johann;Schwaiger;1301
1810142;2018;Dr. Matthias;Schickel;1301
1810143;2018;Alexander;Heimisch;1301
1810144;2018;Stephanie;Pollmann;1301
1810145;2018;Lutz;Heese;1301
1810146;2018;Rolf-Jürgen;Picker;1301
1810201;2018;Natascha;Kohnen;1302
1810202;2018;Markus;Rinderspacher;1302
1810203;2018;Doris;Rauscher;1302
1810204;2018;Florian;Ritter;1302
1810205;2018;Florian;Brunn von;1302
1810206;2018;Ruth;Waldmann;1302
1810207;2018;Diana;Stachowitz;1302
1810208;2018;Isabell;Zacharias;1302
1810209;2018;Martin;Güll;1302
1810210;2018;Christiane;Kern;1302
1810211;2018;Annette;Ganssmüller-Maluche;1302
1810212;2018;Günther;Knoblauch;1302
1810213;2018;Peter;Falk;1302
1810214;2018;Micky;Wenngatz;1302
1810215;2018;Christian;Winklmeier;1302
1810216;2018;Sepp;Parzinger;1302
1810217;2018;Dr. Mike;Malm;1302
1810218;2018;Dr. Christoph;Spaeth;1302
1810219;2018;Dr. Michael;Ott;1302
1810220;2018;Alexandra;Burgmaier;1302
1810221;2018;Christian;De Lapuente;1302
1810222;2018;Dominik;Streit;1302
1810223;2018;Markus;Käser;1302
1810224;2018;Susanne;Aigner;1302
1810225;2018;Gertrud;Eichinger;1302
1810226;2018;Kilian;Maier;1302
1810227;2018;Britta;Promann;1302
1810228;2018;Markus;Grill;1302
1810229;2018;Verena;Schmidt-Völlmecke;1302
1810230;2018;Robert;Kühn;1302
1810231;2018;Andreas;Fischer;1302
1810301;2018;Florian;Streibl;1303
1810302;2018;Dr. Michael;Piazolo;1303
1810303;2018;Benno;Zierer;1303
1810304;2018;Susann;Enders;1303
1810305;2018;Roland;Weigert;1303
1810306;2018;Nikolaus;Kraus;1303
1810307;2018;Eva;Gottstein;1303
1810308;2018;Hans;Friedl;1303
1810309;2018;Christine;Degenhart;1303
1810310;2018;Mary;Fischer;1303
1810311;2018;Dr. Ilse;Ertl;1303
1810312;2018;Martina;Purkhardt;1303
1810313;2018;Dr. Lothar;Seissiger;1303
1810314;2018;Rainer;Mehringer;1303
1810315;2018;Georg;Stockinger;1303
