jahr;stimmen;stimmkreis;kandidat;partei
2018;5416;701;1870309;1303
2018;7495;706;1870310;1303
2018;8483;703;1870311;1303
2018;6204;702;1870312;1303
2018;7860;712;1870313;1303
2018;17357;701;1870401;1304
2018;19055;710;1870402;1304
2018;14360;705;1870403;1304
2018;15972;702;1870404;1304
2018;12247;703;1870405;1304
2018;10300;706;1870406;1304
2018;13656;709;1870407;1304
2018;9504;712;1870408;1304
2018;13615;713;1870409;1304
2018;9645;708;1870410;1304
2018;8356;707;1870411;1304
2018;8807;704;1870412;1304
2018;10637;711;1870413;1304
2018;4234;710;1870501;1305
2018;3912;703;1870502;1305
2018;4684;705;1870503;1305
2018;4075;701;1870504;1305
2018;3170;712;1870505;1305
2018;3753;704;1870506;1305
2018;3981;713;1870507;1305
2018;3496;709;1870508;1305
2018;3125;707;1870509;1305
2018;2922;708;1870510;1305
2018;3555;702;1870511;1305
2018;2483;706;1870512;1305
2018;2633;711;1870514;1305
2018;3844;701;1870601;1306
2018;3424;702;1870602;1306
2018;2299;709;1870603;1306
2018;2111;713;1870604;1306
2018;2279;710;1870605;1306
2018;1811;705;1870606;1306
2018;1712;711;1870607;1306
2018;1680;704;1870608;1306
2018;1780;708;1870609;1306
2018;1617;703;1870610;1306
2018;1728;706;1870611;1306
2018;1631;712;1870612;1306
2018;1354;707;1870613;1306
2018;705;701;1870701;1307
2018;2239;711;1870702;1307
2018;1715;704;1870703;1307
2018;1624;705;1870704;1307
2018;1710;703;1870705;1307
2018;1314;708;1870706;1307
2018;1006;702;1870707;1307
2018;634;713;1870708;1307
2018;1050;706;1870709;1307
2018;974;707;1870711;1307
2018;1105;710;1870712;1307
2018;895;709;1870713;1307
2018;953;712;1870714;1307
2018;2718;712;1870801;1308
2018;822;704;1870802;1308
2018;1403;703;1870803;1308
2018;1215;709;1870804;1308
2018;1304;708;1870805;1308
2018;787;701;1870806;1308
2018;1149;706;1870808;1308
2018;1021;713;1870809;1308
2018;1189;711;1870810;1308
2018;1027;710;1870811;1308
2018;813;707;1870812;1308
2018;995;705;1870813;1308
2018;879;702;1870814;1308
2018;564;713;1870901;1309
2018;490;705;1870902;1309
2018;445;708;1870903;1309
2018;310;707;1870905;1309
2018;8156;701;1871101;1311
2018;9125;712;1871102;1311
2018;8861;707;1871103;1311
